long,lat,alt,model,reg_city,reg_state,mph,Label
-118.112,34.6373,22825,A319-112,LAS VEGAS,NEVADA,437,moderate
-118.65,34.7197,27725,560,VAN NUYS,CALIFORNIA,460,moderate
-118.394,34.8054,15075,SR22T,LOS ALTOS,CALIFORNIA,460,moderate
-117.758,34.3633,16250,ERJ 170-200 LL,ST GEORGE,UTAH,389,safe
-118.277,34.584,8300,EMB-135LR,SALT LAKE CITY,UTAH,460,moderate
-118.308,34.7647,30300,A320-214,FORT WORTH,TEXAS,541,risk
-117.704,34.3455,35750,ERJ 170-200 LR,ST GEORGE,UTAH,513,risk
-118.517,34.8757,21200,B300,SAN CLEMENTE,CALIFORNIA,460,moderate
-118.535,34.4945,39275,737-79P,WILMINGTON,DELAWARE,504,risk
-117.899,34.5964,34550,737-924ER,CHICAGO,ILLINOIS,543,risk
-118.083,34.6455,21825,767-300F,MEMPHIS,TENNESSEE,467,moderate
-117.628,34.3274,35800,ERJ 170-200 LR,SEATTLE,WASHINGTON,500,risk
-117.633,34.418,18225,CL-600-2B19,ST GEORGE,UTAH,458,moderate
-118.737,35.075,35450,737-7H4,DALLAS,TEXAS,516,risk
-117.742,34.603,15125,SR22T,LOS ALTOS,CALIFORNIA,460,moderate
-118.104,34.6768,6675,99,BOCA RATON,FLORIDA,460,moderate
-118.738,34.7218,40425,737-7H4,DALLAS,TEXAS,460,highest risk
-118.888,34.9474,24800,A320-232,LONG ISLAND CITY,NEW YORK,460,moderate
-118.205,34.7337,16125,C90,VISALIA,CALIFORNIA,460,moderate
-117.403,34.7286,33875,35A,NORTH SALT LAKE,UTAH,460,risk
-118.742,34.5232,28275,FALCON 2000EX,GRAND RAPIDS,MICHIGAN,495,moderate
-118.683,34.6215,34475,737-7H4,DALLAS,TEXAS,516,risk
-118.044,34.5156,38675,A330-243,SALT LAKE CITY,UTAH,532,risk
-117.64,34.7096,27425,737-7H4,DALLAS,TEXAS,460,moderate
-117.836,34.5834,34575,737-900ER,SEATTLE,WASHINGTON,520,risk
-118.747,34.9539,28325,ERJ 170-200 LR,ST GEORGE,UTAH,490,moderate
-118.394,34.8599,29475,767-323,WILMINGTON,OHIO,534,risk
-118.537,34.9579,38375,737-7H4,DALLAS,TEXAS,518,risk
-118.298,34.4997,15075,EMB-135LR,SALT LAKE CITY,UTAH,460,moderate
-117.739,34.3243,20850,737-8,DALLAS,TEXAS,460,moderate
-117.729,34.7056,25325,EMB-135LR,DALLAS,TEXAS,460,moderate
-118.042,34.6243,13175,400A,NEW CASTLE,DELAWARE,435,moderate
-118.745,34.5268,40325,737-7H4,DALLAS,TEXAS,460,highest risk
-117.929,34.6463,13975,737-7H4,DALLAS,TEXAS,424,moderate
-118.12,34.63,3300,,,,460,moderate
-118.08,34.6122,11050,GV-SP (G550),NORTH SALT LAKE,UTAH,331,safe
-117.968,34.6908,27175,737-7H4,DALLAS,TEXAS,463,moderate
-118.589,34.8386,32350,BD-500-1A11,ATLANTA,GEORGIA,516,risk
-118.067,34.6336,36500,737-8H4,DALLAS,TEXAS,490,risk
-118.018,34.558,32475,A319-132,FORT WORTH,TEXAS,520,risk
-118.085,34.6493,3125,,,,460,moderate
-117.538,34.4423,25975,ERJ 170-200 LR,ST GEORGE,UTAH,460,moderate
-118.3,34.7948,24250,737-7H4,DALLAS,TEXAS,495,moderate
-117.786,34.5974,24050,767-300F,LOUISVILLE,KENTUCKY,458,moderate
-117.998,34.6238,13300,B200,MESA,ARIZONA,460,moderate
-118.681,34.771,39350,737-7H4,DALLAS,TEXAS,500,risk
-118.116,34.6497,3925,,,,460,moderate
-118.492,34.8991,26250,CL-600-2B19,SAINT GEORGE,UTAH,520,risk
-118.358,34.5658,7950,560XL,MADERA,CALIFORNIA,315,safe
